,GSM215051,GSM215052,GSM215053,GSM215054,GSM215055,GSM215056,GSM215057,GSM215058,GSM215059,GSM215060,GSM215061,GSM215062,GSM215063,GSM215064,GSM215065,GSM215066,GSM215067,GSM215068,GSM215069,GSM215070,GSM215071,GSM215072,GSM215073,GSM215074,GSM215075,GSM215076,GSM215077,GSM215078,GSM215079,GSM215080,GSM215081,GSM215082,GSM215083,GSM215084,GSM215085,GSM215086,GSM215087,GSM215088,GSM215089,GSM215090,GSM215091,GSM215092,GSM215093,GSM215094,GSM215095,GSM215096,GSM215097,GSM215098,GSM215099,GSM215100,GSM215101,GSM215102,GSM215103,GSM215104,GSM215105,GSM215106,GSM215107,GSM215108,GSM215109,GSM215110,GSM215111,GSM215112,GSM215113,GSM215114
ACACA,6.483575,6.79429,6.9093599999999995,6.848065,6.72598,6.7711950000000005,6.237175,6.404655,6.55353,6.6175250000000005,6.7506,6.4731749999999995,6.494415,6.417575,6.789009999999999,6.469275,6.642825,6.611405,6.8139199999999995,6.49888,6.503405000000001,6.335295,6.50502,6.41462,6.667795,6.480205,6.427955,6.21753,6.814115000000001,6.818569999999999,6.457215,6.884355,7.226305,7.33607,7.460825,7.23719,7.34923,6.775790000000001,6.993845,7.250299999999999,7.0258,7.6946699999999995,6.467245,7.25442,7.07718,7.016019999999999,7.213255,7.177375,7.24587,7.06091,7.1685799999999995,6.710075,6.79464,7.461869999999999,6.862555,7.148899999999999,7.273149999999999,6.649229999999999,6.5090900000000005,6.19681,6.84704,7.184465,7.1434999999999995,7.065875
ACACB,6.083608333333333,5.935171666666666,6.350681666666667,6.101241666666667,6.417818333333333,6.386481666666666,6.106401666666667,6.32602,6.450581666666667,6.416715,5.871876666666666,6.092200000000001,6.021905,6.01473,5.701039999999999,6.2558283333333335,5.888468333333333,6.1210916666666675,6.07179,6.314801666666667,6.280218333333334,5.9328866666666675,6.040948333333333,6.196256666666667,6.248436666666667,5.8806183333333335,6.262618333333333,6.173286666666667,6.417923333333334,6.257414999999999,6.489731666666667,6.123318333333334,5.945611666666665,5.609433333333333,5.830388333333333,5.45467,5.478986666666667,5.841453333333334,5.538201666666667,5.550296666666667,6.07313,5.5157533333333335,6.007648333333333,5.603650000000001,5.899626666666666,5.706763333333334,5.47676,5.691793333333333,5.485103333333334,5.424358333333333,5.670368333333333,5.793938333333333,5.914336666666666,5.5450333333333335,5.91833,5.696089999999999,5.7682183333333334,5.712938333333334,5.525371666666666,5.4234800000000005,5.693429999999999,5.668465,5.57413,5.7949366666666675
ACAT1,6.108253333333333,6.041723333333334,6.126116666666667,6.17264,6.16496,6.1712766666666665,5.986000000000001,5.980126666666667,5.85955,5.888323333333333,6.06074,5.97342,5.78888,5.999269999999999,5.950300000000001,6.14903,5.833483333333333,6.226253333333333,6.075276666666666,6.0352766666666655,6.0769866666666665,6.159669999999999,5.848806666666667,5.688876666666666,5.974810000000001,6.151753333333333,5.906933333333334,6.032799999999999,5.9803733333333335,5.836506666666668,6.07056,5.71497,5.24609,5.3073,5.573503333333334,5.81417,5.600743333333333,5.798563333333333,5.491510000000001,5.5740300000000005,5.600249999999999,5.3475600000000005,5.358820000000001,5.52215,5.051306666666666,5.704083333333333,5.797036666666667,5.667306666666668,5.287923333333333,5.500733333333334,5.476006666666667,5.43541,5.473176666666667,5.5792600000000006,5.173463333333333,5.362193333333334,5.527956666666667,5.463629999999999,5.48443,5.1949700000000005,5.158986666666666,5.401610000000001,5.176193333333333,5.464836666666667
ACAT2,7.40981,7.90385,7.49983,7.394360000000001,8.48315,8.04335,7.6295,7.9598,7.39257,7.21356,7.86867,8.25629,7.30911,8.01716,8.04402,7.75835,7.955439999999999,7.628760000000001,7.18425,7.54102,7.242719999999999,7.85929,7.54248,7.68585,7.637860000000001,7.489160000000001,7.245480000000001,7.2897,7.476889999999999,7.67726,7.33788,7.8174,7.85945,8.00807,8.54599,8.25767,9.15788,7.89693,8.30865,9.2294,8.81874,8.627,7.7377899999999995,8.433589999999999,7.490139999999999,8.0387,8.85542,8.39378,9.21798,7.6061,7.916510000000001,7.06301,7.681760000000001,8.55903,7.96325,8.39223,8.42557,7.8144,7.27579,7.58865,7.633439999999999,8.7958,8.58714,7.86303
ACOT12,3.06133,2.92308,2.89874,2.903,3.07347,3.41925,3.12797,2.9880299999999997,2.97515,2.87348,3.1368400000000003,2.70349,3.18221,2.9178900000000003,2.9295,2.96805,3.1606099999999997,2.9254599999999997,2.98157,3.01573,2.8039400000000003,2.99796,2.87906,2.8270299999999997,3.00332,3.20181,3.1583799999999997,3.10019,2.98366,2.85948,2.9833,2.98745,2.87756,3.05024,3.2556599999999998,2.88357,2.84825,2.98652,2.9793,2.87348,2.90711,3.24435,3.0043,2.9330000000000003,2.86576,3.00093,2.8842,3.06811,2.9186400000000003,2.94979,2.74967,3.0878200000000002,2.98026,3.21244,3.03071,3.14092,3.1892,3.08506,3.1329700000000003,2.95708,2.9681599999999997,2.9517900000000004,2.8460900000000002,3.00254
ACSS1,5.390478,5.095044,5.2197059999999995,5.17819,5.221565999999999,5.341872,5.002722,5.010542,5.051014,4.92501,4.90848,4.89759,5.152226000000001,5.065332,4.949698,5.02487,5.260808000000001,5.158379999999999,4.966308,5.135528,4.9229579999999995,5.069826,5.024336,5.1092439999999995,5.01087,5.207172,4.998273999999999,5.008661999999999,5.129886,5.006297999999999,5.060534,5.135202,5.048016,5.0579979999999995,5.270524,5.170476,4.704438,5.3567480000000005,4.9348019999999995,4.9115139999999995,5.09412,5.188922,5.433622000000001,4.987486,4.881006,4.982746000000001,4.977849999999999,5.068806,4.936839999999999,5.244414000000001,4.87645,5.15827,4.913386,4.920312000000001,4.935028,5.153464,4.869591999999999,4.90593,4.995507999999999,4.8930679999999995,5.092166000000001,4.791412,4.979241999999999,4.992512
ACSS2,9.77288,9.66842,9.78089,9.63376,9.75802,9.531239999999999,9.249139999999999,9.455860000000001,9.4888,9.51518,9.33275,9.669310000000001,9.1923,9.57007,9.27135,9.73905,9.27745,9.6614,9.592030000000001,9.63777,9.68707,9.48601,9.36616,9.56532,9.77546,9.2431,9.146939999999999,9.0429,9.710560000000001,9.89449,9.72194,9.69053,8.506639999999999,7.7991600000000005,8.762189999999999,8.49815,8.9513,8.691980000000001,8.86012,8.86563,9.00435,8.63805,8.675130000000001,8.079460000000001,8.16703,8.45945,8.515419999999999,8.53995,8.48263,8.01995,8.67024,8.71322,8.196069999999999,8.55083,8.49393,8.40896,8.14792,8.607389999999999,8.37853,8.53191,8.57777,8.68286,8.84217,8.42861
ACYP1,5.8086,6.29778,6.35346,5.2194,6.15482,5.48832,5.96482,5.55892,5.986680000000001,6.2910699999999995,6.02719,6.4772099999999995,5.90479,6.13636,6.0481300000000005,6.366680000000001,5.40805,6.211040000000001,6.6748,6.147390000000001,6.1476,6.3307400000000005,5.34469,6.39556,6.3606300000000005,6.25455,5.88489,6.28827,6.57711,6.627339999999999,7.117139999999999,6.77367,7.36101,6.765389999999999,6.63997,6.23172,7.17585,6.64647,6.8533100000000005,6.7339899999999995,6.919910000000001,7.03365,4.96791,6.88247,7.01089,6.6987,6.99719,6.32696,6.758939999999999,6.99615,7.145289999999999,6.562139999999999,7.39566,6.661110000000001,7.352469999999999,7.618239999999999,7.97249,7.8438,6.01346,7.21575,7.24785,7.2158,7.858910000000001,7.10888
ACYP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLAT,7.971379999999999,8.308746666666666,8.28658,8.261093333333333,8.559966666666666,8.395563333333333,8.198343333333332,8.311643333333334,8.189256666666667,8.345343333333334,8.46165,8.447556666666665,7.9027433333333335,8.37505,8.545356666666667,8.462753333333334,8.364116666666666,8.212593333333334,8.378179999999999,8.15275,8.299433333333333,8.34863,8.355026666666667,8.41099,8.647829999999999,8.288089999999999,7.734729999999999,7.94071,8.316466666666665,8.436533333333331,8.062640000000002,7.932966666666666,7.781426666666666,8.106693333333332,8.663966666666665,8.818,8.85042,8.780446666666668,8.52801,8.597383333333333,9.01334,8.434496666666666,7.735926666666667,8.560276666666667,7.645843333333333,8.6509,8.85224,8.882956666666667,8.463016666666666,8.678613333333333,8.793606666666667,8.217826666666667,8.389266666666666,8.69936,8.36394,8.91998,8.876076666666668,8.376619999999999,7.8322433333333334,8.037226666666667,8.26375,8.48253333333333,8.051183333333334,8.225596666666668
DLD,8.79341,8.535445000000001,8.905555,8.99361,8.95589,8.83795,8.751165,8.714935,8.869580000000001,8.946705,9.145655000000001,8.93882,8.609065000000001,8.880790000000001,9.20681,9.058,8.794505,8.843910000000001,9.139845000000001,8.84857,8.933685,8.83761,8.978075,8.996935,8.96761,8.820464999999999,8.782155,8.822025,9.057385,9.021284999999999,9.006355,8.778495,8.60996,8.53675,8.842315000000001,9.436010000000001,9.368065000000001,8.88187,8.868,8.80142,9.11233,8.63625,8.06037,8.824735,9.154895,9.5732,9.03449,9.065345,9.12653,8.816105,8.970995,9.033619999999999,8.93265,9.005375,8.76564,8.981895000000002,9.06074,8.889,9.067730000000001,8.39916,8.68575,8.752405,9.20559,8.50403
GLO1,10.076130000000001,10.56369,10.43655,10.28481,10.6207,10.66784,10.44263,10.28185,10.28202,10.357289999999999,10.64736,10.76253,10.412510000000001,10.50489,10.512,10.268460000000001,10.78358,10.26078,10.39305,10.16123,10.08557,10.33542,10.419089999999999,10.214839999999999,10.31353,10.34615,9.89333,10.355260000000001,10.23361,10.28928,10.18265,10.426630000000001,10.71401,10.99675,11.36565,11.21228,11.39206,11.30852,11.24003,11.14595,11.24488,11.69769,10.94528,11.24569,11.05428,11.272089999999999,11.56132,10.957230000000001,11.75937,11.34177,11.16982,10.46003,10.87887,11.00267,11.17575,11.3167,11.178519999999999,10.90005,10.85982,11.1734,11.138069999999999,10.990689999999999,10.93467,10.80452
HAGH,8.08892,8.095369999999999,7.798260000000001,7.57602,8.18195,8.06748,8.06753,7.79565,7.8965,8.00484,7.681369999999999,8.20465,7.61322,7.9477899999999995,7.49333,7.91615,7.60075,8.25393,7.8620399999999995,7.9234100000000005,8.01943,7.91907,7.847010000000001,7.88345,8.09985,7.913310000000001,7.47992,7.65535,7.7006,7.79188,8.314960000000001,7.923430000000001,7.74826,7.781860000000001,7.8882699999999994,7.71435,7.93435,7.93895,8.34297,7.819439999999999,7.93772,8.00774,7.7992,7.86393,7.85027,7.90512,7.835039999999999,7.700810000000001,7.8552,8.32686,8.06976,8.13972,7.68526,8.03032,7.37585,7.925339999999999,7.95029,7.93664,7.44445,7.96433,7.7503,7.7660800000000005,7.93503,7.85906
